timestamp,lane,average_speed,flow,jam_state,state,back_of_queue,direction,final_vehicle_dist,flow_rate,human_flag,large_vehicles,medium_vehicles,small_vehicles,moto_vehicles,space_occupy_ratio,time_occupy_ratio,vehicles,volume
2025-10-24 00:00:00,1,104,0,Clear,2,0,Straight,29.79556807845267,0.0,0,0,0,0,0,0,0.0,0,0
2025-10-24 00:00:10,4,97,0,Clear,4,0,Straight,40.28723476421994,0.0,0,0,0,0,0,0,0.0,0,0
2025-10-24 00:00:20,4,101,19,Clear,2,0,Straight,18.268535743130347,22.8,1,0,0,0,0,0,0.0,0,19
2025-10-24 00:00:30,2,104,46,Clear,4,0,Straight,15.356552251416197,55.199999999999996,0,0,0,0,0,0,0.0,0,46
2025-10-24 00:00:40,2,101,0,Clear,4,0,Straight,26.701228249973617,0.0,0,0,0,0,0,0,0.0,0,0
2025-10-24 00:00:50,4,93,71,Clear,4,0,Straight,26.910093830766545,85.2,0,0,0,0,0,6,6.6000000000000005,0,71
2025-10-24 00:01:00,1,95,0,Clear,3,0,Straight,23.4151188190825,0.0,0,0,0,0,0,0,0.0,0,0
2025-10-24 00:01:10,1,100,0,Clear,2,0,Straight,16.7914260488646,0.0,0,0,0,0,0,0,0.0,0,0
2025-10-24 00:01:20,1,103,0,Clear,2,0,Straight,24.2834470647106,0.0,0,0,0,0,0,1,1.1,0,0
2025-10-24 00:01:30,1,98,44,Clear,1,0,Straight,41.8513561937256,52.8,0,0,0,0,0,0,0.0,0,44
2025-10-24 00:01:40,1,104,96,Clear,2,0,Straight,26.527851046190356,115.19999999999999,0,0,0,0,0,0,0.0,0,96
2025-10-24 00:01:50,3,100,0,Clear,5,0,Straight,35.7992917904675,0.0,0,0,0,0,0,0,0.0,0,0
2025-10-24 00:02:00,3,103,0,Clear,1,0,Straight,34.19594224268168,0.0,0,0,0,0,0,0,0.0,0,0
2025-10-24 00:02:10,1,88,0,Clear,2,0,Straight,25.04387651500114,0.0,1,0,0,0,0,7,7.700000000000001,0,0
2025-10-24 00:02:20,2,101,0,Clear,2,0,Straight,14.610369856880396,0.0,1,0,0,0,0,0,0.0,0,0
2025-10-24 00:02:30,2,97,0,Clear,1,0,Straight,26.38577269333588,0.0,1,0,0,0,0,5,5.5,0,0
2025-10-24 00:02:40,2,97,89,Clear,2,0,Straight,31.191006590242843,106.8,1,0,0,0,0,6,6.6000000000000005,0,89
2025-10-24 00:02:50,4,99,0,Clear,4,0,Straight,31.708621824362645,0.0,0,0,0,0,0,0,0.0,0,0
2025-10-24 00:03:00,3,91,70,Clear,4,0,Straight,35.96200127428424,84.0,0,0,0,0,0,4,4.4,0,70
2025-10-24 00:03:10,3,89,4,Clear,3,0,Straight,48.72474204855307,4.8,0,0,0,0,0,6,6.6000000000000005,0,4
2025-10-24 00:03:20,1,95,32,Clear,1,0,Straight,19.07665849044087,38.4,0,0,0,0,0,0,0.0,0,32
2025-10-24 00:03:30,3,96,49,Clear,1,0,Straight,13.021847229783145,58.8,0,0,0,0,0,2,2.2,0,49
2025-10-24 00:03:40,3,103,0,Clear,2,0,Straight,41.93140755452221,0.0,1,0,0,0,0,1,1.1,0,0
2025-10-24 00:03:50,2,100,0,Clear,3,0,Straight,46.871466444979845,0.0,0,0,0,0,0,2,2.2,0,0
2025-10-24 00:04:00,3,100,11,Clear,1,0,Straight,26.301093387532998,13.2,1,0,0,0,0,4,4.4,0,11
2025-10-24 00:04:10,1,104,64,Clear,4,0,Straight,33.33841482157551,76.8,1,0,0,0,0,0,0.0,0,64
2025-10-24 00:04:20,1,101,0,Clear,2,0,Straight,49.26376382111273,0.0,0,0,0,0,0,0,0.0,0,0
2025-10-24 00:04:30,4,96,40,Clear,1,0,Straight,10.966083653617105,48.0,1,0,0,0,0,0,0.0,0,40
2025-10-24 00:04:40,4,97,0,Clear,4,0,Straight,25.246401326564992,0.0,1,0,0,0,0,6,6.6000000000000005,0,0
2025-10-24 00:04:50,2,103,0,Clear,1,0,Straight,42.921069308590724,0.0,0,0,0,0,0,1,1.1,0,0
2025-10-24 00:05:00,3,90,98,Clear,1,0,Straight,14.764956547884015,117.6,1,0,0,0,0,8,8.8,0,98
2025-10-24 00:05:10,3,101,36,Clear,2,0,Straight,30.248998208335884,43.199999999999996,1,0,0,0,0,0,0.0,0,36
2025-10-24 00:05:20,4,99,52,Clear,2,0,Straight,42.556005074434516,62.4,0,0,0,0,0,0,0.0,0,52
2025-10-24 00:05:30,2,97,95,Clear,2,0,Straight,36.50117033231568,114.0,0,0,0,0,0,1,1.1,0,95
2025-10-24 00:05:40,4,95,23,Clear,2,0,Straight,14.93136244876692,27.599999999999998,1,0,0,0,0,6,6.6000000000000005,0,23
2025-10-24 00:05:50,4,99,0,Clear,4,0,Straight,16.332762512551927,0.0,0,0,0,0,0,0,0.0,0,0
2025-10-24 00:06:00,3,86,0,Clear,3,0,Straight,43.85479028024805,0.0,0,0,0,0,0,9,9.9,0,0
2025-10-24 00:06:10,3,97,0,Clear,4,0,Straight,45.14777849983753,0.0,0,0,0,0,0,0,0.0,0,0
2025-10-24 00:06:20,1,98,0,Clear,2,0,Straight,44.984463272733976,0.0,0,0,0,0,0,0,0.0,0,0
2025-10-24 00:06:30,3,96,9,Clear,5,0,Straight,26.816525916789693,10.799999999999999,0,0,0,0,0,0,0.0,0,9
2025-10-24 00:06:40,3,100,88,Clear,3,0,Straight,47.21223993323189,105.6,0,0,0,0,0,0,0.0,0,88
2025-10-24 00:06:50,3,90,0,Clear,5,0,Straight,15.807051857658045,0.0,0,0,0,0,0,6,6.6000000000000005,0,0
2025-10-24 00:07:00,2,96,51,Clear,4,0,Straight,35.26793862432699,61.199999999999996,1,0,0,0,0,0,0.0,0,51
2025-10-24 00:07:10,1,98,59,Clear,5,0,Straight,43.23953581564068,70.8,1,0,0,0,0,3,3.3000000000000003,0,59
2025-10-24 00:07:20,1,92,57,Clear,5,0,Straight,20.197578751712022,68.39999999999999,0,0,0,0,0,6,6.6000000000000005,0,57
2025-10-24 00:07:30,2,91,95,Clear,1,0,Straight,24.531523326760087,114.0,1,0,0,0,0,7,7.700000000000001,0,95
2025-10-24 00:07:40,4,93,0,Clear,4,0,Straight,35.81395503297617,0.0,1,0,0,0,0,4,4.4,0,0
2025-10-24 00:07:50,1,100,0,Clear,1,0,Straight,41.893911755197934,0.0,1,0,0,0,0,2,2.2,0,0
2025-10-24 00:08:00,2,103,0,Clear,4,0,Straight,41.74944925196298,0.0,1,0,0,0,0,0,0.0,0,0
2025-10-24 00:08:10,3,88,0,Clear,2,0,Straight,14.356750984035425,0.0,1,0,0,0,0,9,9.9,0,0
2025-10-24 00:08:20,3,95,5,Clear,5,0,Straight,35.22156768067876,6.0,0,0,0,0,0,9,9.9,0,5
2025-10-24 00:08:30,2,101,0,Clear,5,0,Straight,27.60249026382992,0.0,1,0,0,0,0,1,1.1,0,0
2025-10-24 00:08:40,1,102,0,Clear,2,0,Straight,24.981652596212903,0.0,0,0,0,0,0,0,0.0,0,0
2025-10-24 00:08:50,4,103,0,Clear,5,0,Straight,35.41616376768279,0.0,1,0,0,0,0,0,0.0,0,0
2025-10-24 00:09:00,4,90,4,Clear,4,0,Straight,41.42143367757106,4.8,0,0,0,0,0,7,7.700000000000001,0,4
2025-10-24 00:09:10,4,96,2,Clear,4,0,Straight,10.34601731109985,2.4,1,0,0,0,0,0,0.0,0,2
2025-10-24 00:09:20,4,102,49,Clear,4,0,Straight,45.708443626622504,58.8,1,0,0,0,0,0,0.0,0,49
2025-10-24 00:09:30,4,103,91,Clear,1,0,Straight,33.53045502718793,109.2,1,0,0,0,0,0,0.0,0,91
2025-10-24 00:09:40,4,104,0,Clear,3,0,Straight,27.92287404072981,0.0,0,0,0,0,0,0,0.0,0,0
2025-10-24 00:09:50,2,98,0,Clear,3,0,Straight,35.316442162224384,0.0,1,0,0,0,0,5,5.5,0,0
2025-10-24 00:10:00,3,100,0,Clear,5,0,Straight,25.22416078041577,0.0,1,0,0,0,0,0,0.0,0,0
2025-10-24 00:10:10,2,98,0,Clear,5,0,Straight,10.805190741696773,0.0,0,0,0,0,0,3,3.3000000000000003,0,0
2025-10-24 00:10:20,2,97,4,Clear,2,0,Straight,33.20476008069999,4.8,1,0,0,0,0,4,4.4,0,4
2025-10-24 00:10:30,3,93,0,Clear,5,0,Straight,15.327369276359395,0.0,1,0,0,0,0,7,7.700000000000001,0,0
2025-10-24 00:10:40,2,98,71,Clear,4,0,Straight,28.33541047388756,85.2,1,0,0,0,0,0,0.0,0,71
2025-10-24 00:10:50,3,94,64,Clear,1,0,Straight,40.01584294211116,76.8,0,0,0,0,0,7,7.700000000000001,0,64
2025-10-24 00:11:00,1,100,0,Clear,4,0,Straight,18.846825800228835,0.0,0,0,0,0,0,4,4.4,0,0
2025-10-24 00:11:10,2,101,0,Clear,3,0,Straight,19.944126147563296,0.0,0,0,0,0,0,0,0.0,0,0
2025-10-24 00:11:20,1,100,0,Clear,4,0,Straight,32.51087244666347,0.0,1,0,0,0,0,0,0.0,0,0
2025-10-24 00:11:30,4,104,24,Clear,2,0,Straight,39.804061367244074,28.799999999999997,1,0,0,0,0,0,0.0,0,24
2025-10-24 00:11:40,3,104,0,Clear,2,0,Straight,20.212977841143577,0.0,1,0,0,0,0,0,0.0,0,0
2025-10-24 00:11:50,4,92,0,Clear,5,0,Straight,38.076360862148725,0.0,0,0,0,0,0,3,3.3000000000000003,0,0
2025-10-24 00:12:00,1,100,43,Clear,4,0,Straight,20.576303763643153,51.6,0,0,0,0,0,0,0.0,0,43
